run_id,run_name,model,sequence,iou,dice,temporal_consistency,failure_rate,processing_time,total_frames,precision,recall
8n42x1lb,tsp_sam_bear,tsp_sam,bear,0.9223583667036682,0.959574062426,0.9700034164673728,0.0,20,25,0.9426535694521306,0.9415463276445796
w5hornx9,samurai_bear,samurai,bear,0.9692378385807533,0.9843771831995244,0.0,0.0,11,25,0.9891944564746643,0.9815849413382612
1c8e6mwn,tsp_sam_bike-packing,tsp_sam,bike-packing,0.5887770197905808,0.7396875915068136,0.7943528757215383,0.52,20,25,0.7028052153299091,0.6737623574864589
kr4jvzhq,samurai_bike-packing,samurai,bike-packing,0.8490165917738756,0.9178305390060608,0.0,0.0,9,25,0.9135261826929008,0.9580723411136866
2clq9qnc,tsp_sam_blackswan,tsp_sam,blackswan,0.9001455955814027,0.9474383077700148,0.9422102596580114,0.0,20,25,0.945654834761322,0.9452691680261012
utfq4yvk,samurai_blackswan,samurai,blackswan,0.9630660019998575,0.9811850301389606,0.0,0.0,10,25,0.9780136281190255,0.9839222745542869
tuj4luef,tsp_sam_bmx-bumps,tsp_sam,bmx-bumps,0.5406643031603876,0.700567274581777,0.19052001840773125,0.52,20,25,0.6781811085089774,0.688800792864222
10wzgom3,samurai_bmx-bumps,samurai,bmx-bumps,0.6494709108819157,0.7874280291384139,0.0,0.0,9,25,0.615232593493463,0.988037109375
6p4ffjdo,tsp_sam_bmx-trees,tsp_sam,bmx-trees,0.5998573640280688,0.7468260379940346,0.6968466316292403,0.04,20,25,0.7365735767991407,0.858797745773325
04h18bbr,samurai_bmx-trees,samurai,bmx-trees,0.7361649330778222,0.8469090164655954,0.0,0.0,8,25,0.8199658703071673,0.9408989764129951
3jk34clw,tsp_sam_boat,tsp_sam,boat,0.7159229730468374,0.83437489507142,0.8692140017951019,0.0,20,25,0.8378860672614962,0.8384615384615385
jkj3e3p9,samurai_boat,samurai,boat,0.7629838130116323,0.865557037965286,0.0,0.0,8,25,0.7765487460554725,0.9816090023513604
dswq9u2b,tsp_sam_boxing-fisheye,tsp_sam,boxing-fisheye,0.487910407082442,0.6446562174424577,0.5735576085061879,0.76,20,25,0.6487488415199258,0.6049476072161607
g291wr0q,samurai_boxing-fisheye,samurai,boxing-fisheye,0.6855879245863292,0.81303729515262,0.0,0.68,9,25,0.9757831924415714,0.6054239170677527
9pe9fj1y,tsp_sam_breakdance,tsp_sam,breakdance,0.49608865473034847,0.6545127919867312,0.5707817880372401,0.76,20,25,0.5876808061108403,0.5714285714285714
l2ptkkkr,samurai_breakdance,samurai,breakdance,0.9537789800719405,0.9763074708306023,0.0,0.0,9,25,0.9816871647613372,0.9901363425230197
we4wt524,tsp_sam_breakdance-flare,tsp_sam,breakdance-flare,0.850153677968753,0.9187485916239582,0.41255715218811234,0.0,20,25,0.9330515251913629,0.9420925135540431
2q3e4otp,samurai_breakdance-flare,samurai,breakdance-flare,0.9694443372677896,0.9844830106747336,0.0,0.0,10,25,0.9748257871502062,0.9837266669121166
jnuumz3w,tsp_sam_bus,tsp_sam,bus,0.6214400978727075,0.7660254250566593,0.7507675830060693,0.16,20,25,0.7685785332844156,0.7548242453358955
hpvjhb5g,samurai_bus,samurai,bus,0.9864334479673509,0.9931696600559503,0.0,0.0,28,25,0.9970617884979469,0.9874232979448719
ci3hsphg,tsp_sam_camel,tsp_sam,camel,0.8856032201621418,0.9393093832625959,0.9058737304994241,0.0,20,25,0.9301307654429064,0.9626274065685164
s3ko5p60,samurai_camel,samurai,camel,0.9744623650877545,0.9870633139322352,0.0,0.0,13,25,0.9806632994981939,0.9944802665384807
u5ffgw4w,tsp_sam_car-roundabout,tsp_sam,car-roundabout,0.8742962534363887,0.932800214561962,0.9396596721996033,0.0,20,25,0.9774047772756617,0.9129189487965429
nqnqfpvc,samurai_car-roundabout,samurai,car-roundabout,0.9855397639746404,0.9927164768993897,0.0,0.0,13,25,0.9964903178551264,0.9875540634546169
fdnakeim,tsp_sam_car-shadow,tsp_sam,car-shadow,0.6795911403232057,0.8081790654137303,0.7713405690818422,0.08,20,25,0.8285525881965051,0.8700017310022503
8i520s4o,samurai_car-shadow,samurai,car-shadow,0.9817336057496908,0.9907810849902694,0.0,0.0,10,25,0.979757281553398,0.9934045380715657
4f5d03mq,tsp_sam_car-turn,tsp_sam,car-turn,0.7678608574809551,0.8681024616109089,0.8553544494720965,0.0,20,25,0.9357932379713915,0.9354891127721807
pgkfm2x2,samurai_car-turn,samurai,car-turn,0.9653415968956286,0.9823534778642212,0.0,0.0,9,25,0.9856153436334576,0.994944605786813
